Date,Open,Day High,Day Low,Close,Volume,
3/8/2002,1157.54,1172.76,1157.54,1164.31,1412000000,
3/11/2002,1164.31,1173.03,1159.58,1168.26,1210200000,
3/12/2002,1168.26,1168.26,1154.34,1165.58,1304400000,
3/13/2002,1165.58,1165.58,1151.01,1154.09,1354000000,
3/14/2002,1154.09,1157.83,1151.08,1153.04,1208800000,
3/15/2002,1153.04,1166.48,1153.04,1166.16,1493900000,
3/18/2002,1166.16,1172.73,1159.14,1165.55,1169500000,
3/19/2002,1165.55,1173.94,1165.55,1170.29,1255000000,
3/20/2002,1170.29,1170.29,1151.61,1151.85,1304900000,
3/21/2002,1151.85,1155.1,1139.48,1153.59,1339200000,
3/22/2002,1153.59,1156.49,1144.6,1148.7,1243300000,
3/25/2002,1148.7,1151.04,1131.87,1131.87,1057900000,
3/26/2002,1131.87,1147,1131.61,1138.49,1223600000,
3/27/2002,1138.49,1146.95,1135.33,1144.58,1180100000,
3/28/2002,1144.58,1154.45,1144.58,1147.39,1147600000,
4/1/2002,1147.39,1147.84,1132.87,1146.54,1050900000,
4/2/2002,1146.54,1146.54,1135.71,1136.76,1176700000,
4/3/2002,1136.76,1138.85,1119.68,1125.4,1219700000,
4/4/2002,1125.4,1130.45,1120.06,1126.34,1283800000,
4/5/2002,1126.34,1133.31,1119.49,1122.73,1110200000,
4/8/2002,1122.73,1125.41,1111.79,1125.29,1095300000,
4/9/2002,1125.29,1128.29,1116.73,1117.8,1235400000,
4/10/2002,1117.8,1131.76,1117.8,1130.47,1447900000,
4/11/2002,1130.47,1130.47,1102.42,1103.69,1505600000,
4/12/2002,1103.69,1112.77,1102.74,1111.01,1282100000,
4/15/2002,1111.01,1114.86,1099.41,1102.55,1120400000,
4/16/2002,1102.55,1129.4,1102.55,1128.37,1341300000,
4/17/2002,1128.37,1133,1123.37,1126.07,1376900000,
4/18/2002,1126.07,1130.49,1109.29,1124.47,1359300000,
4/19/2002,1124.47,1128.82,1122.59,1125.17,1185000000,
4/22/2002,1125.17,1125.17,1105.62,1107.83,1181800000,
4/23/2002,1107.83,1111.17,1098.94,1100.96,1388500000,
4/24/2002,1100.96,1108.46,1092.51,1093.14,1373200000,
4/25/2002,1093.14,1094.36,1084.81,1091.48,1517400000,
4/26/2002,1091.48,1096.77,1076.31,1076.32,1374200000,
4/29/2002,1076.32,1078.95,1063.62,1065.45,1314700000,
4/30/2002,1065.45,1082.62,1063.46,1076.92,1628600000,
5/1/2002,1076.92,1088.32,1065.29,1086.46,1451400000,
5/2/2002,1086.46,1091.42,1079.46,1084.56,1364000000,
5/3/2002,1084.56,1084.56,1068.89,1073.43,1284500000,
5/6/2002,1073.43,1075.96,1052.65,1052.67,1122600000,
5/7/2002,1052.67,1058.67,1048.96,1049.49,1354700000,
5/8/2002,1049.49,1088.92,1049.49,1088.85,1502000000,
5/9/2002,1088.85,1088.85,1072.23,1073.01,1153000000,
5/10/2002,1073.01,1075.43,1053.93,1054.99,1171900000,
5/13/2002,1054.99,1074.84,1053.9,1074.56,1088600000,
5/14/2002,1074.56,1097.71,1074.56,1097.28,1414500000,
5/15/2002,1097.28,1104.23,1088.94,1091.07,1420200000,
5/16/2002,1091.07,1099.29,1089.17,1098.23,1256600000,
5/17/2002,1098.23,1106.59,1096.77,1106.59,1274400000,
5/20/2002,1106.59,1106.59,1090.61,1091.88,989800000,
5/21/2002,1091.88,1099.55,1079.08,1079.88,1200500000,
5/22/2002,1079.88,1086.02,1075.64,1086.02,1136300000,
5/23/2002,1086.02,1097.1,1080.55,1097.08,1192900000,
5/24/2002,1097.08,1097.08,1082.19,1083.82,885400000,
5/28/2002,1083.82,1085.98,1070.31,1074.55,996500000,
5/29/2002,1074.55,1074.83,1067.66,1067.66,1081800000,
5/30/2002,1067.66,1069.5,1054.26,1064.66,1286600000,
5/31/2002,1064.66,1079.93,1064.66,1067.14,1277300000,
6/3/2002,1067.14,1070.74,1039.9,1040.68,1324300000,
6/4/2002,1040.68,1046.06,1030.52,1040.69,1466600000,
6/5/2002,1040.69,1050.11,1038.84,1049.9,1300100000,
6/6/2002,1049.9,1049.9,1026.91,1029.15,1601500000,
6/7/2002,1029.15,1033.02,1012.49,1027.53,1341300000,
6/10/2002,1027.53,1038.18,1025.45,1030.74,1226200000,
6/11/2002,1030.74,1039.04,1012.94,1013.6,1212400000,
6/12/2002,1013.26,1021.85,1002.58,1020.26,1795720000,
6/13/2002,1020.26,1023.47,1008.12,1009.56,1405500000,
6/14/2002,1009.56,1009.56,981.63,1007.27,1549000000,
6/17/2002,1007.27,1036.17,1007.27,1036.17,1236600000,
6/18/2002,1036.17,1040.83,1030.92,1037.14,1193100000,
6/19/2002,1037.14,1037.61,1017.88,1019.99,1336100000,
6/20/2002,1019.99,1023.33,1004.59,1006.29,1389700000,
6/21/2002,1006.29,1006.29,985.65,989.14,1497200000,
6/24/2002,989.14,1002.11,970.85,992.72,1552600000,
6/25/2002,992.72,1005.88,974.21,976.14,1513700000,
6/26/2002,976.14,977.43,952.92,973.53,2014290000,
6/27/2002,973.53,990.67,963.74,990.64,1908600000,
6/28/2002,990.64,1001.79,988.31,989.82,2117000000,
7/1/2002,989.82,994.46,967.43,968.65,1425500000,
7/2/2002,968.65,968.65,945.54,948.09,1823000000,
7/3/2002,948.09,954.3,934.87,953.99,1527800000,
7/5/2002,953.99,989.07,953.99,989.03,699400000,
7/8/2002,989.03,993.56,972.91,976.98,1184400000,
7/9/2002,976.98,979.63,951.71,952.83,1348900000,
